"id","name","locationid","description","reference"
100,"CMOS 4000 4521",4,"24 bit binaire counter","https://www.cmos4000.com/"
101,"CMOS 4000 4522",4,"programeerbare 4bit bcd-down-counter","https://www.cmos4000.com/"
102,"CMOS 4000 4528",4,"2x monostab multivibrator","https://www.cmos4000.com/"
103,"CMOS 4000 4532",4,"8bit priority encoder","https://www.cmos4000.com/"
104,"CMOS 4000 4543",4,"bcd 7segment decoder","https://www.cmos4000.com/"
105,"CMOS 4000 4555",4,"2x 1 – 4 demux","https://www.cmos4000.com/"
106,"CMOS 4000 4556",4,"2x 1 – 4 demux","https://www.cmos4000.com/"
107,"CMOS 4000 4585",4,"4bit magnitude comparator","https://www.cmos4000.com/"
108,"Condensator 1nF – 4700uF",5,"Condensator 1nF – 4700uF",
109,"uP-IC",6,,
110,"8155",6,,
111,"Icvoeten",6,,
112,"brugcel",6,,
113,"Reed-contacten",6,,
114,"LCD-display",6,,
115,"LEDdisplay",6,,
116,"Xtal div",6,,
117,"schuifweerstand",6,,
118,"array A221J",6,,
119,"relais 12V 24V",6,,
120,"analoge meters",6,,
121,"2n3055",6,"NPN 60V 15A",
122,"lampjes",6,,
123,"microswitch",6,,
124,"kabeltrekontlasting",6,,
125,"zwart/blauw/rood/oranje",6,,
126,"Chasis-trekontlasting zwart",6,,
127,"spoelen groot",7,,
128,"polymorph korrels",7,,
129,"Icvoetjes",7,,
130,"veertjes",7,,
131,"schotjes",7,,
132,"testsnoertjes met klem",7,,
133,"faston krimpconn",7,,
134,"voedingsstekker laagspanning",7,,
135,"battclip 9V",7,,
136,"batthouder 1xAA",7,,
137,"batthouder 2xAA",7,,
138,"batthouder 3xAA",7,,
139,"batthouder 4xAA",7,,
140,"potmeters",8,,
141,"50Ohm – 5M Ohm",8,,
142,"diode",8,,
143,"1n5408",8,"1000V 3A",
144,"1n4005/6/7",8,"600V 1A / 800V 1A / 1000V 1A",
145,"1n4148",8,"100V 150mA",
146,"vricap",8,,
147,"bat43",8,"schottky diode",
148,"1n60 germanium, lage drempelsp.",8,"0,3V 40V 50mA",
149,"NTC/PTC",8,,
150,"Opto-coupler",8,,
151,"MCA231",8,"optocupler",
152,"MOC3012/MOC3041",8,"optocupler",
153,"BPW17-array",8,"fototransistor",
154,"NE555",8,"timer",
155,"speakertje",8,,
156,"meerstandenschakelaar",8,,
157,"dipswitch",8,,
158,"opamps",8,,
159,"buizen",8,,
160,"meerslagen potmeters",8,,
161,"LEDs",8,,
162,"groen/geel/rood/oranje/div",8,,
163,"sp.regelaars",8,,
164,"LM317",8,"sp.regelaar 1,25V – 37V",
165,7805,8,"Sp.reg. +5V",
166,"78xx",8,"Sp.reg. +V",
167,"79xx",8,"Sp.reg. -5V",
168,"ML723 / TL431",8,"LM723? sp. Reg. / sp. Reg.",
169,"TRIAC",8,,
170,"thyristor",8,,
171,"Hoogsp, condensators",8,,
172,"schakelaars groot",9,,
173,"Meerpolig kabel-conn",9,,
174,"schakelaars klein",9,,
175,"lagers",9,,
176,"schakelaars groot",9,,
177,"power diode",9,,
178,"elko groot",9,,
179,"Plastic condensator div.",9,,
180,"Print + kabel conn. 32 polig",9,,
181,"Kast-pootjes",9,,
182,"power transistor div.",9,,
183,"relais dev. Spanning/ print en chasis",9,,
184,"eprom div.",9,,
185,"potmeter chasis",9,,
186,"knoppen voor schakelars",9,,
187,"printpennen",10,,
188,"RJ45",10,,
189,"jack",10,,
190,"wieltjes",10,,
191,"baj fitting",10,,
192,"Weerstanden 1 Ohm – 82kOhm",11,,
193,"spijkers",12,,
194,"koellichamen",12,,
195,"Grommet / kabeldoorvoer",12,,
196,"headers",12,,
197,"krokodil",12,,
198,"afstandhouders",12,,
199,"kroonsteen",12,,
200,"connectors",12,,
201,"XLR",12,,
202,"220V drukknop",12,,
203,"DIN connectors",12,,
204,"Jack-plug",12,,
205,"tulp connector",12,,
206,"banaan con",12,,
207,"printconn",12,,
208,"computerconn",12,,
209,"IDC con",12,,
210,"Scart-conn",12,,
